Date,Open,High,Low,Close*,Adj Close**,Volume,Year,Month,Day,DayOfWeek,Daily_Return,Volatility,MA5,MA20,MA50,RSI,MACD,Signal_Line,BB_middle,BB_upper,BB_lower,Price_Momentum,Volume_MA5,Volume_MA20
2023-03-23,32101.49,32511.49,31864.74,32105.25,32105.25,335430000,2023,3,23,3,-0.4103292032609174,0.5226349440383234,32377.342000000004,33323.642,,11.11016805296235,-425.9855461502666,-283.3550455159759,33323.642,34586.20765829226,32061.076341707743,-0.022939812891616063,301346000.0,281027000.0
2023-03-22,32570.19,32761.89,32020.46,32030.11,32030.11,325990000,2023,3,22,2,-0.23404271886996453,0.5207534306299351,32239.844,33235.8165,,12.690139739725197,-458.3638872276424,-318.35681385830924,33235.8165,34602.8303207945,31868.802679205502,-0.021012849353253205,303722000.0,281931000.0
2023-03-21,32420.71,32593.68,32346.12,32560.6,32560.6,363190000,2023,3,21,1,1.656222847814126,0.6651417257559467,32273.114,33168.996,,28.855652147744692,-436.1897226902329,-341.92339562469397,33168.996,34530.56576956979,31807.42623043021,0.005135170593546734,326648000.0,287516000.0
2023-03-20,31872.33,32280.07,31872.33,32244.58,32244.58,357210000,2023,3,20,0,-0.9705595105741205,0.6782595602160116,32235.614,33082.3935,,26.67100120996352,-439.05555135533723,-361.34982677082263,33082.3935,34447.998477225156,31716.78852277484,-0.005781312823599394,339778000.0,292698000.0
2023-03-17,32217.32,32217.32,31728.7,31861.98,31861.98,552806250,2023,3,17,4,-1.1865560041408596,0.7049660603964913,32160.503999999997,32976.133499999996,,24.294297052405597,-466.8181743681016,-382.4434962902784,32976.133499999996,34375.615530425996,31576.651469573997,-0.011649465700380834,386925250.0,308611812.5
2023-03-16,31827.65,32281.61,31571.46,32246.55,32246.55,440940000,2023,3,16,3,1.2069871363926454,0.7834005396474547,32188.764000000003,32894.1375,,32.53745596116957,-452.5717032314569,-396.46913767851413,32894.1375,34260.825770695956,31527.449229304035,0.004401149344733346,408027250.0,316822812.5
2023-03-15,31759.87,31906.47,31429.82,31874.57,31874.57,420910000,2023,3,15,2,-1.1535497595866806,0.791956752883207,32157.656,32786.3815,,30.060582647939427,-465.92604404199665,-410.3605189512107,32786.3815,34115.412507127505,31457.3504928725,-0.004856055755038002,427011250.0,324006812.5
2023-03-14,32055.29,32306.59,31805.4,32155.4,32155.4,391760000,2023,3,14,1,0.8810471796168562,0.8118403910796661,32076.615999999998,32711.826500000003,,31.527219480781667,-448.6767550013428,-418.0237661612371,32711.826500000003,34004.49416957695,31419.158830423054,-0.01244448812368315,432725250.0,330579812.5
2023-03-13,31819.93,32240.35,31624.87,31819.14,31819.14,429090000,2023,3,13,0,-1.0457341535169862,0.8277501760699462,31991.528000000002,32618.544,,31.45279098522606,-456.8733888868519,-425.7936907063601,32618.544,33884.56967635725,31352.51832364276,-0.013194155420849119,447101250.0,339962812.5
2023-03-10,32185.14,32422.1,31783.41,31909.64,31909.64,397790000,2023,3,10,4,0.28442000632322717,0.837335928148975,32001.059999999998,32534.7,,36.80607477284921,-450.86934547650526,-430.8088216603892,32534.7,33751.976583248994,31317.423416751004,0.001495826687481383,416098000.0,348206312.5
